Sample:,Stimulation,Live Cell Count,Live Cell Frequency,CD4+pSTAT1(S727)+,CD4+pSTAT1(S727)high,CD4+pSTAT1(S727)low,CD4+pSTAT1(Y701)+,CD4+pSTAT2+,CD4+pSTAT3(S727)+,CD4+pSTAT3(S727)high,CD4+pSTAT3(S727)low,CD4+pSTAT3(Y705)+,CD4+pSTAT4+,CD4+pSTAT5+,CD4+pSTAT6+,CD8+pSTAT1(S727)+,CD+pSTAT1(S727)high,CD8+pSTAT1(S727)low,CD8+pSTAT1(Y701)+,CD8+pSTAT2+,CD8+pSTAT3(S727)+,CD8+pSTAT3(S727)high,CD8+pSTAT3(S727)low,CD8+pSTAT3(Y705)+,CD8+pSTAT4+,CD8+pSTAT5+,CD8+pSTAT6+
C11.fcs,IL-13,48694,93.6,84.2,3.11,80.7,0.053,9.21,83.4,0.36,82.4,0.05,0.034,1.29,0.18,86.9,5.39,80.8,0.81,11.1,83.9,0.077,83.1,0.077,0.68,1.29,0.48
E7.fcs,IL-13,61758,94.2,76.6,0.22,77.6,0.06,7.36,78.9,0.089,77.6,2.70E-02,8.32E-03,0.85,0.11,80.2,0.7,80.4,0.59,8.87,77.2,0.01,75.7,0.052,0.4,0.76,0.33
H2.fcs,IL-13,67953,95.2,61.4,0.14,62.8,0.063,9.28,82.9,0.032,82.1,0.034,0.015,0.99,0.14,66.9,0.26,68,0.67,10.9,82.4,0.036,81.4,0.063,0.49,0.93,0.32
B6.fcs,IL-15,69470,93.7,84.3,27.6,53.5,0.056,13.9,84.4,1.3,82.8,0.2,0.053,35.5,0.17,84.7,36.2,45.4,0.73,16.7,84.3,1.4,82.6,0.52,0.54,47.9,0.4
F2.fcs,IL-15,70755,94.8,72.2,0.097,73.6,0.062,7.62,83.4,0.11,82.6,0.071,0.019,34.6,0.13,77.3,0.2,78.3,0.74,9.06,81.9,0.2,80.8,0.17,0.5,47,0.37
F12.fcs,IL-15,51517,95.4,88,7.75,78,0.066,9.06,85.3,0.056,84.6,0.2,0.032,32.3,0.15,89.7,16.4,69.8,0.77,10.7,84.9,0.098,83.9,0.27,0.67,43.8,0.48
E5.fcs,IL-17A,60965,94.2,78.7,0.44,79.1,0.051,5.22,82.2,0.019,81.4,0.021,0.015,0.44,0.11,82.2,1.36,81.3,0.63,5.89,81.8,0.01,80.7,0.072,0.35,0.43,0.31
G5.fcs,IL-17A,55780,94.7,65.2,0.032,67.2,0.056,6.82,79.4,0.025,78.4,1.90E-02,9.26E-03,0.65,0.1,72.2,0.1,73.7,0.53,7.07,78.8,0.011,77.3,0.1,0.36,0.58,0.34
B8.fcs,IL-17A,66961,93.4,84.3,19.4,62.3,0.081,10.9,84.2,0.63,83.3,0.099,0.035,1.37,0.18,85.9,25.8,57.6,0.64,13.7,85.1,0.2,84.5,0.24,0.5,1.17,0.43
E2.fcs,IL-1a,75741,94.8,79.5,0.34,79.9,0.051,6.54,83.6,0.095,83,0.13,0.02,0.7,0.11,83.1,0.81,82.7,0.61,7.79,83.5,0.025,82.7,0.083,0.39,0.64,0.25
C6.fcs,IL-1a,65125,94.4,85.9,9.2,75.2,0.057,9.63,85.1,0.52,84.2,0.078,0.018,1.57,0.13,86.5,14.6,70.1,0.67,11.8,84.8,0.3,83.9,0.095,0.49,1.33,0.38
G11.fcs,IL-1a,55612,94.9,87.9,24.6,60.5,0.074,12.7,88.7,0.083,88.4,8.30E-02,9.19E-03,1.19,0.16,90.2,30.6,56.6,0.72,13.9,89.6,0.045,89.1,0.18,0.57,0.98,0.3
E4.fcs,IL-1b,64251,94.3,79.9,0.46,80,0.054,7.23,83.3,0.078,82.8,0.04,0.012,0.71,0.16,82.8,1.19,81.8,0.69,8.06,83.3,0.019,82.7,0.039,0.45,0.63,0.43
C9.fcs,IL-1b,59365,93.9,86.6,45.8,36.4,0.084,12.4,86.5,0.66,85.6,0.16,0.047,1.31,0.14,88.9,50.1,35.5,0.76,14.8,87.6,0.29,86.9,0.23,0.57,1.17,0.4
G12.fcs,IL-1b,67870,95.4,89.1,11.1,75.3,0.09,10.4,86.8,0.036,86.2,0.12,0.029,1.39,0.21,90.8,19,68.3,0.74,11.2,85.7,0.049,84.8,0.088,0.56,0.93,0.43
A6.fcs,IL-2 (300),71300,92.6,83.3,40.5,39.3,0.066,13.2,83.6,2.08,81.1,0.33,0.096,27.4,0.15,84.1,45.1,35.8,0.58,16.3,83.5,1.4,81.8,0.27,0.5,16.1,0.41
F3.fcs,IL-2 (300),59428,94.3,72.5,0.22,73.6,0.075,8.59,81.4,0.065,80.6,0.086,0.026,25.4,0.13,78.5,0.57,78.8,0.8,9.84,81,0.042,79.9,0.1,0.57,14.5,0.3
C10.fcs,IL-2 (300),44087,92.1,83.8,8.42,73.6,0.075,12.2,84.6,0.52,83.8,0.22,0.032,29.7,0.18,84.9,15.2,67.6,0.91,15.3,85.1,0.18,84.7,0.25,0.69,19.1,0.4
D4.fcs,IL-2 (50),64178,94,84.1,1.92,81.8,0.058,8.66,84.9,0.16,84.5,0.11,0.028,20.2,0.14,85.6,3.93,81,0.67,10.3,84.8,0.058,84.4,0.15,0.39,4.76,0.26
A5.fcs,IL-2 (50),73702,93.8,85.6,34,48.7,0.068,10.6,85.7,1.1,84.4,0.23,0.059,19.3,0.15,86.9,37.5,46.7,0.41,12.7,86.3,0.5,85.6,0.2,0.3,4.49,0.32
H10.fcs,IL-2 (50),41293,93.6,75.8,4.83,71,0.069,11,83,0.072,82.4,0.094,0.019,20.2,0.17,78,4.91,73.4,1.05,12.6,82.2,0,81.5,0.14,0.84,5.42,0.54
B2.fcs,IL-21,80323,94.4,86.5,62.8,20.7,0.056,38.3,87,23.5,61.9,64,0.16,7.2,0.6,87.1,66.6,18.3,0.52,42.3,87.5,12.1,74.2,57.3,0.84,5.9,0.67
H5.fcs,IL-21,55291,94.1,57.2,0.026,59.1,0.056,4.58,82,0.2,81.1,58.3,0.031,0.8,0.3,63.1,0.1,65,0.66,5.22,83.2,0.023,82.4,51.7,0.45,0.65,0.44
C8.fcs,IL-21,71403,93.8,84.2,7.32,75.5,0.057,10.9,85,4.88,79.5,60.7,0.055,2.38,0.46,86,11.3,73.2,0.59,12.1,86.1,2.02,83.8,54.6,0.57,1.69,0.53
B4.fcs,IL-23,75084,93,83.6,21.8,59.1,0.043,9.8,83.2,0.81,82.1,1.73,0.22,1.43,0.17,84.9,27.1,55.3,0.61,12.1,83.6,0.87,82.3,5.4,1.55,1.43,0.43
F1.fcs,IL-23,60769,94.1,66.2,0.067,68,0.067,6.31,82.5,0.12,81.6,1.28,0.092,0.91,0.14,71.7,0.12,73.2,0.72,7.95,81.6,0.19,80.4,4.16,1.16,0.81,0.46
E8.fcs,IL-23,61223,93.5,79.7,0.46,79.8,0.07,9.43,84.1,0.15,83.6,1.4,0.13,1.02,0.13,83.1,1.26,81.9,0.47,10.7,84.9,0.26,84.1,4.91,1.04,1.14,0.38
