Sample,Activation,Timepoint,Polarization,Phenograph_1,Phenograph_2,Phenograph_3,Phenograph_4,Phenograph_5,Phenograph_6,Phenograph_7,Phenograph_8,Phenograph_9,Phenograph_10,Phenograph_11,Phenograph_12,Phenograph_13,Phenograph_14,Phenograph_15,Phenograph_16,Phenograph_17
export_concat_1_2020_07_17_pSTAT_2_Th2_30m_NoAct_3.fcs,No,0.5,Th2,29.1,25.7,20,5.24,0.089,0.83,0.045,0,0.015,1.26,15,2.64,0.015,0.015,0,0.015,0.03
export_concat_1_2020_07_17_pSTAT_2_Th2_30m_1.fcs,Yes,0.5,Th2,35.6,26,15.1,6.85,0.38,1.99,0.12,0.015,0.029,1.02,10.1,2.71,0.029,0,0.059,0.015,0.015
export_concat_1_2020_07_17_pSTAT_2_Th2_30m_2.fcs,Yes,0.5,Th2,30.4,24.1,20.3,7.31,0.5,1.78,0.03,0,0.045,1.34,9.69,4.5,0.045,0,0,0.015,0
export_concat_1_2020_07_17_pSTAT_2_Th2_30m_3.fcs,Yes,0.5,Th2,27.7,24.5,24.2,6.1,0.28,1.51,0.074,0,0.015,1.51,10.1,3.87,0.059,0,0.074,0.03,0.015
export_concat_1_2020_07_17_pSTAT_2_Th2_96h_1.fcs,Yes,96,Th2,1.74,1.48,0.4,14.8,20.8,21.4,0,0.74,18.1,7.94,0,4.9,0.18,6.72,0.8,0.015,0
export_concat_1_2020_07_17_pSTAT_2_Th2_96h_2.fcs,Yes,96,Th2,1.02,0.89,0.29,14.4,20.3,17.6,0.015,0.85,21.7,8.45,0,4.86,0.25,8.61,0.85,0,0
export_concat_1_2020_07_17_pSTAT_2_Th2_96h_3.fcs,Yes,96,Th2,0.31,0.74,2.24,17.7,7,10.9,0,0.33,5.42,8.38,0,38.5,0.88,7.09,0.5,0,0.03
export_concat_1_2020_07_17_pSTAT_2_Th17_24h_1.fcs,Yes,24,Th17,0.18,0.62,1.03,5.08,4.47,4.52,2.63,37.5,2.15,9.14,0,3.49,29,0.16,0.015,0.044,0.029
export_concat_1_2020_07_17_pSTAT_2_Th17_24h_2.fcs,Yes,24,Th17,0.21,0.49,0.96,5.75,5.56,6.61,2.21,44.8,2.73,7.75,0,2.25,20.4,0.15,0.015,0.074,0.015
export_concat_1_2020_07_17_pSTAT_2_Th17_24h_3.fcs,Yes,24,Th17,0.24,0.55,1.41,5.47,5.01,6.75,4.08,41.4,2.37,10.9,0.015,2.58,19.1,0.03,0.03,0.015,0.059
export_concat_1_2020_07_17_pSTAT_2_Th17_30m_NoAct_1.fcs,No,0.5,Th17,2.46,5.03,5.76,1.23,0.059,0.47,67.9,4.79,0.03,1.05,1.02,1.14,9.05,0,0,0.015,0
export_concat_1_2020_07_17_pSTAT_2_Th17_30m_NoAct_2.fcs,No,0.5,Th17,2.97,4.61,6.96,0.65,0.045,0.25,75.8,1.53,0.045,0.91,1.56,0.67,3.95,0,0.015,0,0
export_concat_1_2020_07_17_pSTAT_2_Th17_30m_NoAct_3.fcs,No,0.5,Th17,2.33,3.59,7.61,0.46,0.045,0.15,76.8,1.04,0.03,1.01,1.26,0.56,5.12,0,0,0.03,0.015
export_concat_1_2020_07_17_pSTAT_2_Th17_30m_1.fcs,Yes,0.5,Th17,2.63,4.54,7.55,1.28,0.12,0.42,65.5,4.44,0.015,1.72,0.73,1.31,9.73,0.015,0.015,0.015,0.015
export_concat_1_2020_07_17_pSTAT_2_Th17_30m_2.fcs,Yes,0.5,Th17,3.75,5.12,5.18,1.34,0.15,0.59,69.5,5.77,0.045,1.13,1.02,0.58,5.76,0,0.045,0.015,0
export_concat_1_2020_07_17_pSTAT_2_Th17_30m_3.fcs,Yes,0.5,Th17,3.04,5.21,4.93,1.11,0.15,0.67,68,6.05,0.03,0.93,1.04,1.1,7.64,0,0.03,0.045,0.045
export_concat_1_2020_07_17_pSTAT_2_Th17_96h_1.fcs,Yes,96,Th17,0.13,0.34,0.36,1.28,0.95,1.44,4.47,38.9,0.47,16,0.015,1.34,33.2,0.25,0.93,0,0.015
export_concat_1_2020_07_17_pSTAT_2_Th17_96h_2.fcs,Yes,96,Th17,0.03,0.03,0.15,1.07,2.06,1.65,1.42,63.7,1.72,14.6,0,0.59,11.6,0.47,0.76,0,0.015
export_concat_1_2020_07_17_pSTAT_2_Th17_96h_3.fcs,Yes,96,Th17,0.03,0.03,0.1,1.26,2.64,2.52,0.83,63.6,2.05,13.8,0.015,1.02,10.9,0.61,0.64,0.015,0
export_concat_1_2020_07_17_pSTAT_2_iTreg_24h_1.fcs,Yes,24,iTreg,1.77,10.2,4.61,25.8,13.3,15.8,0.045,0.16,4.55,8.16,0.18,15,0.28,0.03,0.045,0.015,0.059
export_concat_1_2020_07_17_pSTAT_2_iTreg_24h_2.fcs,Yes,24,iTreg,1.71,5.95,1.88,29.3,16.2,22.8,0.015,0.12,5.82,6.99,0.074,8.84,0.22,0.015,0,0.045,0.015
export_concat_1_2020_07_17_pSTAT_2_iTreg_24h_3.fcs,Yes,24,iTreg,2.09,7.28,1.62,28.9,16.2,22.1,0.045,0.18,4.3,7.77,0.12,8.77,0.34,0.015,0,0.074,0.1
export_concat_1_2020_07_17_pSTAT_2_iTreg_30m_NoAct_1.fcs,No,0.5,iTreg,35.6,27.1,9.45,10,0.79,3.85,0.059,0,0.029,1.41,8.92,2.75,0.044,0,0.029,0.029,0
export_concat_1_2020_07_17_pSTAT_2_iTreg_30m_NoAct_2.fcs,No,0.5,iTreg,21.9,31.7,23,5.87,0.22,0.89,0.03,0,0,1.57,11.2,3.47,0.015,0,0.059,0.044,0.044
export_concat_1_2020_07_17_pSTAT_2_iTreg_30m_NoAct_3.fcs,No,0.5,iTreg,26.4,29.7,17.4,5.52,0.25,1.31,0.089,0.015,0,1.08,16,2.05,0.03,0,0.045,0.03,0.03
export_concat_1_2020_07_17_pSTAT_2_iTreg_30m_1.fcs,Yes,0.5,iTreg,40.2,27.9,8.23,8.93,0.19,2.33,0.089,0.015,0.03,1.48,7.28,3.23,0.015,0,0.03,0.03,0.015
export_concat_1_2020_07_17_pSTAT_2_iTreg_30m_2.fcs,Yes,0.5,iTreg,19.8,35.9,15.5,11.6,0.18,1.69,0.03,0.015,0.045,1.32,7.51,6.19,0.089,0.015,0.059,0.059,0
export_concat_1_2020_07_17_pSTAT_2_iTreg_30m_3.fcs,Yes,0.5,iTreg,20.2,35.8,18.8,8.55,0.16,1.13,0.045,0,0,1.5,8.04,5.68,0.03,0,0.074,0.03,0.03
export_concat_1_2020_07_17_pSTAT_2_iTreg_96h_1.fcs,Yes,96,iTreg,1.75,3.26,2.2,19.1,14.3,15.6,0.029,0.37,14.9,7.93,0.015,14,0.35,5.24,0.91,0.044,0.029
export_concat_1_2020_07_17_pSTAT_2_iTreg_96h_2.fcs,Yes,96,iTreg,0.74,0.3,0.13,5.11,19.6,9.39,0.03,0.4,37.4,9.05,0.044,1.42,0.03,15.6,0.79,0,0.015
export_concat_1_2020_07_17_pSTAT_2_iTreg_96h_3.fcs,Yes,96,iTreg,0.34,0.27,0.15,6.9,19,11.5,0.03,1.16,33.4,8.61,0.015,1.88,0.059,15.7,1.01,0,0
